Puntos   Rebotes   Asistencias   Robos   Jugador
2         8           6           2      Michael Jordan
11        9           2           6      Magic Johnson
6         5           5           8      Larry Bird
4         2           8           7      Charles Barkley
9         6           3           3      Scottie Pippen
7         4           11          10     David Robinson
3         3           10          11     Patrick Ewing
1         1           7           5      Karl Malone
8         11          1           1      John Stockton
5         7           4           4      Clyde Drexler
10        10          9           9      Chris Mullin
12        12          12          12     Christian Laettner
